prot_id,name,function,compartment,kind,pdb_id,biosynthesis,seq_length
MG_191_MONOMER,MgPa adhesin,cytokinesis/motility,m,monomer,6RUT,,1444
MG_192_MONOMER,P110 protein,cytokinesis/motility,m,monomer,6RUT,,1053
MG_194_195_TETRAMER,phenylalanyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_194_MONOMER'+ '(2.0)MG_195_MONOMER',
MG_194_MONOMER,phenylalanyl-tRNA synthetase; alpha subunit,RNA synthesis/maturation,c,monomer,,,341
MG_195_MONOMER,phenylalanyl-tRNA synthetase; beta subunit,RNA synthesis/maturation,c,monomer,,,806
MG_196_MONOMER,translation initiation factor IF-3,translation,c,monomer,,,181
MG_197_MONOMER,ribosomal protein L35,translation,c,monomer,,,59
MG_198_MONOMER,ribosomal protein L20,translation,c,monomer,,,124
MG_199_MONOMER,ribonuclease HIII; putative; frameshift,RNA synthesis/maturation,c,monomer,,,235
MG_200_MONOMER,DnaJ domain protein,protein folding/maturation,c,monomer,,,601
MG_201_DIMER,co-chaperone GrpE,protein folding/maturation,c,complex,,(2.0)MG_201_MONOMER',
MG_201_MONOMER,co-chaperone GrpE,protein folding/maturation,c,monomer,,,217
MG_202_MONOMER,acyl-CoA binding protein,metabolism,c,monomer,,,122
MG_203_204_TETRAMER,topoisomerase IV,DNA replication/maintenance,c,complex,,(2.0)MG_203_MONOMER'+ '(2.0)MG_204_MONOMER',
MG_203_MONOMER,DNA topoisomerase IV; B subunit,DNA replication/maintenance,c,monomer,4JUO,,633
MG_204_MONOMER,DNA topoisomerase IV; A subunit,DNA replication/maintenance,c,monomer,1ZVU,,781
MG_205_DIMER,heat-inducible transcription repressor HrcA; putative,transcription,c,complex,,(2.0)MG_205_MONOMER',
MG_205_MONOMER,heat-inducible transcription repressor HrcA; putative,transcription,c,monomer,,,343
MG_206_MONOMER,excinuclease ABC; C subunit,DNA replication/maintenance,c,monomer,3C65,,597
MG_207_MONOMER,Ser/Thr protein phosphatase 2A,metabolism,c,monomer,,,167
MG_208_DIMER,glycoprotease family protein,protein folding/maturation,c,complex,,(2.0)MG_208_MONOMER',
MG_208_MONOMER,glycoprotease,protein folding/maturation,c,monomer,,,196
MG_209_MONOMER,23S rRNA pseudouridine synthase; U955; U2504; U2580,RNA synthesis/maturation,c,monomer,,,308
MG_210_MONOMER,prolipoprotein signal peptidase; signal peptidase II,protein folding/maturation,m,monomer,,,181
MG_211_MONOMER,DivIVA domain,cytokinesis/motility,c,monomer,,,147
MG_212_MONOMER,1-acyl-sn-glycerol-3-phosphate acyltransferase; putative,metabolism,m,monomer,,,268
MG_213_214_298_6MER,chromosome segregation protein SMC,cytokinesis/motility,c,complex,,(2.0)MG_213_MONOMER'+ '(2.0)MG_214_MONOMER'+ '(2.0)MG_298_MONOMER',
MG_213_214_298_6MER_ADP,Chromosome Segregation Protein SMC with SCP Proteins-ADP,cytokinesis/motility,c,complex,,(1.0)ADP'+ '(1.0)MG_213_214_298_6MER',
MG_213_MONOMER,segregation and condensation protein A,cytokinesis/motility,c,monomer,,,471
MG_214_MONOMER,segregation and condensation protein B,cytokinesis/motility,c,monomer,,,207
MG_215_MONOMER,6-phosphofructokinase,metabolism,c,monomer,,,323
MG_215_TETRAMER,6-phosphofructokinase,metabolism,c,complex,,(4.0)MG_215_MONOMER',
MG_216_MONOMER,pyruvate kinase,metabolism,c,monomer,,,508
MG_216_TETRAMER,pyruvate kinase,metabolism,c,complex,,(4.0)MG_216_MONOMER',
MG_217_MONOMER,P65 adhesin,cytokinesis/motility,c,monomer,,,372
MG_218_MONOMER,high molecular weight cytadherence accessory protein 2,cytokinesis/motility,c,monomer,,,1805
MG_219_MONOMER,,MG-specific,c,monomer,,,148
MG_220_MONOMER,membrane-bound protein,MG-specific,e,monomer,,,93
MG_221_MONOMER,mraZ protein,cytokinesis/motility,c,monomer,,,141
MG_221_OCTAMER,mraZ protein,cytokinesis/motility,c,complex,,(8.0)MG_221_MONOMER',
MG_222_MONOMER,S-adenosyl-methyltransferase MraW,RNA synthesis/maturation,c,monomer,,,309
MG_223_MONOMER,cell division ring formation,cytokinesis/motility,c,monomer,,,411
MG_224_2MER_GTP,cell division protein ftsZ activated 2mer,cytokinesis/motility,c,complex,1W5B,(2.0)MG_224_MONOMER_GTP',
MG_224_3MER_GTP,cell division protein ftsZ activated 3mer,cytokinesis/motility,c,complex,,(1.0)MG_224_2MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_4MER_GTP,cell division protein ftsZ activated 4mer,cytokinesis/motility,c,complex,,(1.0)MG_224_3MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_5MER_GTP,cell division protein ftsZ activated 5mer,cytokinesis/motility,c,complex,,(1.0)MG_224_4MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_6MER_GTP,cell division protein ftsZ activated 6mer,cytokinesis/motility,c,complex,,(1.0)MG_224_5MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_7MER_GTP,cell division protein ftsZ activated 7mer,cytokinesis/motility,c,complex,,(1.0)MG_224_6MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_8MER_GTP,cell division protein ftsZ activated 8mer,cytokinesis/motility,c,complex,,(1.0)MG_224_7MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_9MER_GDP,cell division protein ftsZ deactivated 9mer,cytokinesis/motility,c,complex,,(9.0)H2O'+ '(1.0)MG_224_9MER_GTP'+ '(9.0)H'+ '(9.0)PI',
MG_224_9MER_GTP,cell division protein ftsZ activated 9mer,cytokinesis/motility,c,complex,,(1.0)MG_224_8MER_GTP'+ '(1.0)MG_224_MONOMER_GTP',
MG_224_MONOMER,cell division protein FtsZ,cytokinesis/motility,c,monomer,2VXY,,369
MG_224_MONOMER_GDP,cell division protein ftsZ hydrolysed,cytokinesis/motility,c,complex,2VXY,(1.0)GDP'+ '(1.0)MG_224_MONOMER',
MG_224_MONOMER_GTP,cell division protein ftsZ activated,cytokinesis/motility,c,complex,2VXY,(1.0)GTP'+ '(1.0)MG_224_MONOMER',
MG_225_DIMER,amino acid transporter,protein transport/singaling,m,complex,,(2.0)MG_225_MONOMER',
MG_225_MONOMER,amino acid-polyamine-organocation (APC) permease,protein transport/singaling,c,monomer,,,489
MG_226_DIMER,amino acid transporter,protein transport/singaling,m,complex,,(2.0)MG_226_MONOMER',
MG_226_MONOMER,amino acid-polyamine-organocation (APC) permease,protein transport/singaling,c,monomer,,,492
MG_227_DIMER,thymidylate synthase,metabolism,c,complex,,(2.0)MG_227_MONOMER',
MG_227_MONOMER,thymidylate synthase,metabolism,c,monomer,,,287
MG_228_MONOMER,dihydrofolate reductase,metabolism,c,monomer,,,160
MG_228_TETRAMER,dihydrofolate reductase,metabolism,c,complex,,(4.0)MG_228_MONOMER',
MG_229_231_TETRAMER,ribonucleoside-diphosphate reductase,metabolism,c,complex,2BQ1,(2.0)MG_229_MONOMER'+ '(2.0)MG_231_MONOMER',
MG_229_231_TETRAMER_ox,oxidized ribonucleoside-diphosphate reductase,metabolism,c,complex,2BQ1,(1.0)MG_229_231_TETRAMER'+ '(1.0)O2'+ '(4.0)H',
MG_229_MONOMER,ribonucleoside-diphosphate reductase; beta chain,metabolism,c,monomer,2BQ1,,340
MG_230_MONOMER,ribonucleotide reductase stimulatory protein,metabolism,c,monomer,,,153
MG_231_MONOMER,ribonucleoside-diphosphate reductase; alpha chain,metabolism,c,monomer,2BQ1,,721
MG_232_MONOMER,ribosomal protein L21,translation,c,monomer,,,100
MG_233_MONOMER,widely conserved; ribosomal protein; putative,translation,c,monomer,,,99
MG_234_MONOMER,ribosomal protein L27,translation,c,monomer,,,104
MG_235_MONOMER,apurinic endonuclease,DNA replication/maintenance,c,monomer,,,291
MG_236_MONOMER,ferric uptake repressor,transcription,c,monomer,,,140
MG_237_MONOMER,transcriptional regulator; putative,transcription,c,monomer,,,294
MG_238_MONOMER,trigger factor,protein folding/maturation,c,monomer,,,444
MG_239_HEXAMER,ATP-dependent protease La,protein folding/maturation,c,complex,3M6A,(6.0)MG_239_MONOMER',
MG_239_MONOMER,ATP-dependent protease La,protein folding/maturation,c,monomer,3M6A,,795
MG_240_HEXAMER,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein,metabolism,c,complex,,(6.0)MG_240_MONOMER',
MG_240_MONOMER,nicotinamide-nucleotide adenylyltransferase/conserved hypothetical protein,metabolism,c,monomer,,,350
MG_241_MONOMER,membrane protein; 241/242 homologs,protein transport/singaling,m,monomer,2XWU,,620
MG_242_MONOMER,membrane protein; 241/242 homologs,protein transport/singaling,m,monomer,5XAM,,630
MG_243_MONOMER,conserved hypothetical protein; authentic frameshift,uncharacterized,m,monomer,,,226
MG_244_DIMER,3-5' helicase,DNA replication/maintenance,c,complex,4C2T,(2.0)MG_244_MONOMER',
MG_244_MONOMER,3-5' helicase,DNA replication/maintenance,c,monomer,,,703
MG_245_MONOMER,5-formyltetrahydrofolate cyclo-ligase; putative,metabolism,c,monomer,,,165
MG_246_MONOMER,Ser/Thr protein phosphatase 2A,protein transport/singaling,c,monomer,,,281
MG_247_MONOMER,membrane protein; putative,metabolism,m,monomer,,,239
MG_248_MONOMER,tRNA methyltransferase (m1A22),RNA synthesis/maturation,c,monomer,,,218
MG_249_MONOMER,RNA polymerase sigma factor RpoD,transcription,c,monomer,,,497
MG_250_MONOMER,DNA primase,DNA replication/maintenance,c,monomer,2AU3,,607
MG_251_DIMER,glycyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_251_MONOMER',
MG_251_MONOMER,glycyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,446
MG_252_DIMER,23S rRNA methyltransferase,RNA synthesis/maturation,c,complex,,(2.0)MG_252_MONOMER',
MG_252_MONOMER,23S rRNA methyltransferase; G2251,RNA synthesis/maturation,c,monomer,,,242
MG_253_MONOMER,cysteinyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,428
MG_254_MONOMER,DNA ligase; NAD-dependent,DNA replication/maintenance,c,monomer,,,659
MG_255_MONOMER,cell division protein,cytokinesis/motility,m,monomer,,,365
MG_256_MONOMER,MG/MP only,MG-specific,m,monomer,,,256
MG_257_MONOMER,ribosomal protein L31,translation,c,monomer,,,97
MG_258_MONOMER,peptide chain release factor 1,translation,c,monomer,,,359
MG_259_MONOMER,modification methylase,translation,c,monomer,,,456
MG_259_TETRAMER,modification methylase,translation,c,complex,,(4.0)MG_259_MONOMER',
MG_260_MONOMER,lipoprotein; putative,protein transport/singaling,m,monomer,,,765
MG_261_MONOMER,DNA polymerase III; alpha subunit,DNA replication/maintenance,c,monomer,5FKW,,874
MG_262_MONOMER,polI-like 5'-3' exonuclease; putative,DNA replication/maintenance,c,monomer,,,291
MG_263_MONOMER,Cof-like hydrolase,metabolism,c,monomer,,,291
MG_264_MONOMER,dephospho-CoA kinase,metabolism,c,monomer,,,198
MG_265_DIMER,sugar phosphatase,metabolism,c,complex,,(2.0)MG_265_MONOMER',
MG_265_MONOMER,sugar phosphatase,metabolism,c,monomer,,,278
MG_266_MONOMER,leucyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,792
MG_267_MONOMER,acetyl transferase; putative,MG-specific,m,monomer,,,115
MG_268_MONOMER,deoxynucleoside kinase; putative,metabolism,c,monomer,,,228
MG_269_MONOMER,,MG-specific,c,monomer,,,340
MG_270_MONOMER,lipoyltransferase/lipoate-protein ligase; putative,metabolism,c,monomer,,,336
MG_271_272_273_274_192MER,pyruvate dehydrogenase,metabolism,c,complex,,(12.0)MG_271_MONOMER'+ '(60.0)MG_272_MONOMER'+ '(60.0)MG_273_MONOMER'+ '(60.0)MG_274_MONOMER',
MG_271_272_273_274_192MER_ox,oxidized dihydrolipoamide dehydrogenase,metabolism,c,complex,,(1.0)MG_271_272_273_274_192MER'+ '(24.0)H',
MG_271_MONOMER,dihydrolipoamide dehydrogenase,metabolism,c,monomer,,,457
MG_272_MONOMER,dihydrolipoamide acetyltransferase,metabolism,c,monomer,,,384
MG_273_MONOMER,pyruvate dehydrogenase component E1; beta subunit,metabolism,c,monomer,,,326
MG_274_MONOMER,pyruvate dehydrogenase component E1; alpha subunit,metabolism,c,monomer,,,358
MG_275_MONOMER,NADH oxidase,metabolism,c,monomer,,,478
MG_275_TETRAMER,NADH oxidase,metabolism,c,complex,,(4.0)MG_275_MONOMER',
MG_276_DIMER,adenine phosphoribosyltransferase,metabolism,c,complex,,(2.0)MG_276_MONOMER',
MG_276_MONOMER,adenine phosphoribosyltransferase,metabolism,c,monomer,,,180
MG_277_MONOMER,Protein-export membrane protein secDF,protein transport/singaling,c,monomer,5MG3,,970
MG_278_DIMER,GTP pyrophosphokinase,metabolism,c,complex,,(2.0)MG_278_MONOMER',
MG_278_MONOMER,GTP diphosphokinase,metabolism,c,monomer,,,720
MG_279_MONOMER,,uncharacterized,m,monomer,,,218
MG_280_MONOMER,sensory rhodopsin II transducer motif,uncharacterized,m,monomer,5JEQ,,265
MG_281_MONOMER,protein M,host cell interaction,m,monomer,4NZR,,556
MG_282_MONOMER,transcription elongation factor GreA,transcription,c,monomer,,,161
MG_283_DIMER,prolyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_283_MONOMER',
MG_283_MONOMER,prolyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,483
MG_284_MONOMER,,MG-specific,c,monomer,,,132
MG_285_MONOMER,,MG-specific,c,monomer,,,347
MG_286_MONOMER,,MG-specific,e,monomer,,,196
MG_287_MONOMER,acyl carrier protein,metabolism,c,monomer,,,84
MG_287_MONOMER_ACP,holo acyl carrier protein,metabolism,c,complex,,(1.0)COA'+ '(1.0)MG_287_MONOMER'+ '(1.0)H'+ '(1.0)PAP',
MG_287_MONOMER_ddcaACP,Dodecanoyl-ACP (n-C12:0ACP),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)DDCA'+ '(1.0)MG_287_MONOMER'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_hdeACP,cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)HDCEA'+ '(1.0)MG_287_MONOMER'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_myrsACP,Myristoyl-ACP (n-C14:0ACP),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)MG_287_MONOMER'+ '(1.0)TTDCA'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_ocdcaACP,Octadecanoyl-ACP (n-C18:0ACP),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)MG_287_MONOMER'+ '(1.0)OCDCA'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_octeACP,cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)MG_287_MONOMER'+ '(1.0)OCDCEA'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_palmACP,Palmitoyl-ACP (n-C16:0ACP),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)HDCA'+ '(1.0)MG_287_MONOMER'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_287_MONOMER_tdeACP,cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),metabolism,c,complex,,(1.0)ATP'+ '(1.0)COA'+ '(1.0)MG_287_MONOMER'+ '(1.0)TTDCEA'+ '(1.0)AMP'+ '(1.0)H'+ '(1.0)PAP'+ '(1.0)PPI',
MG_288_MONOMER,protein L,uncharacterized,c,monomer,,,414
MG_289_290_291_PENTAMER,phosphonate ABC transporter,protein transport/singaling,m,complex,2ONK,(1.0)MG_289_MONOMER'+ '(2.0)MG_290_MONOMER'+ '(2.0)MG_291_MONOMER',
MG_289_MONOMER,phosphonate ABC transporter; substrate binding protein (P37); putative,protein transport/singaling,c,monomer,3MYU,,368
MG_290_MONOMER,phosphonate ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,2ONK,,245
MG_291_MONOMER,phosphonate ABC transporter; permease protein (P69); putative,protein transport/singaling,c,monomer,,,543
MG_292_MONOMER,alanyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,900
MG_292_TETRAMER,alanyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(4.0)MG_292_MONOMER',
MG_293_DIMER,glycerophosphoryl diester phosphodiesterase family protein,metabolism,c,complex,,(2.0)MG_293_MONOMER',
MG_293_MONOMER,glycerophosphoryl diester phosphodiesterase,metabolism,c,monomer,,,244
MG_294_MONOMER,major facilitator superfamily (MFS) protein,protein transport/singaling,m,monomer,,,474
MG_295_MONOMER,tRNA U34 sulfurtransferase,RNA synthesis/maturation,c,monomer,,,367
MG_295_MONOMER_ox,oxidized tRNA U34 sulfurtransferase,RNA synthesis/maturation,c,complex,,(1.0)MG_295_MONOMER'+ '(2.0)H',
MG_296_MONOMER,cell division/septation,cytokinesis/motility,c,monomer,,,129
MG_297_MONOMER,signal recognition particle receptor,cytokinesis/motility,c,monomer,,,346
MG_298_MONOMER,chromosome segregation protein SMC,DNA replication/maintenance,c,monomer,4AD8,,982
MG_299_DIMER,phosphate acetyltransferase,metabolism,c,complex,,(2.0)MG_299_MONOMER',
MG_299_MONOMER,phosphate acetyltransferase,metabolism,c,monomer,,,320
MG_300_MONOMER,phosphoglycerate kinase,metabolism,c,monomer,,,411
MG_301_MONOMER,glyceraldehyde-3-phosphate dehydrogenase; type I,metabolism,c,monomer,,,337
MG_301_TETRAMER,glyceraldehyde-3-phosphate dehydrogenase; type I,metabolism,c,complex,,(4.0)MG_301_MONOMER',
MG_302_303_304_TETRAMER,metal ion (cobalt) ABC transporter,protein transport/singaling,m,complex,5X3X,(2.0)MG_302_MONOMER'+ '(1.0)MG_303_MONOMER'+ '(1.0)MG_304_MONOMER',
MG_302_MONOMER,metal ion (cobalt) ABC transporter; permease protein; putative,protein transport/singaling,c,monomer,5X3X,,317
MG_303_MONOMER,metal ion (cobalt) ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,5X3X,,357
MG_304_MONOMER,metal ion (cobalt) ABC transporter; ATP-binding protein; putative,protein transport/singaling,c,monomer,5X3X,,270
MG_305_MONOMER,chaperone,protein folding/maturation,c,monomer,5OBU,,595
MG_306_MONOMER,membrane protein; putative,protein transport/singaling,m,monomer,4KPP,,393
MG_307_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,1177
MG_308_MONOMER,ATP-dependent RNA helicase,RNA synthesis/maturation,c,monomer,,,410
MG_309_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,1QGK,,1225
MG_310_MONOMER,hydrolase; Putative esterase/lipase 1,metabolism,e,monomer,,,268
MG_311_MONOMER,ribosomal protein S4,translation,c,monomer,,,205
MG_312_MONOMER,high molecular weight cytadherence accessory protein 1,cytokinesis/motility,c,monomer,,,1139
MG_313_MONOMER,membrane protein; putative,cytokinesis/motility,m,monomer,,,287
MG_314_MONOMER,cytadherence,cytokinesis/motility,m,monomer,,,443
MG_315_MONOMER,DNA polymerase III; delta subunit; putative,DNA replication/maintenance,c,monomer,1JR3,,297
MG_316_DIMER,DNA internalization-related competence protein ComEC/Rec2,DNA replication/maintenance,m,complex,,(2.0)MG_316_MONOMER',
MG_316_MONOMER,DNA internalization-related competence protein ComEC/Rec2,DNA replication/maintenance,c,monomer,5AYM,,369
MG_317_MONOMER,high molecular weight cytadherence accessory protein 3,cytokinesis/motility,c,monomer,,,599
MG_318_MONOMER,P32 adhesin,cytokinesis/motility,m,monomer,,,280
MG_319_MONOMER,cytadherence; putative,cytokinesis/motility,m,monomer,5TCX,,178
MG_320_MONOMER,membrane protein; putative,cytokinesis/motility,m,monomer,,,286
MG_321_MONOMER,oligopeptide ABC transporter; substrate binding protein,protein transport/singaling,c,monomer,4TQU,,934
MG_322_323_TETRAMER,potassium uptake protein; TrkH family; putative,protein transport/singaling,m,complex,4J7C,(2.0)MG_322_MONOMER'+ '(2.0)MG_323_MONOMER',
MG_322_MONOMER,potassium uptake protein,protein transport/singaling,c,monomer,4J7C,,558
MG_323_MONOMER,potassium uptake protein,protein transport/singaling,c,monomer,4J7C,,227
MG_324_MONOMER,aminopeptidase,protein folding/maturation,c,monomer,,,354
MG_325_MONOMER,ribosomal protein L33,translation,c,monomer,,,53
MG_326_MONOMER,degV family protein,metabolism,c,monomer,,,295
MG_327_MONOMER,hydrolase; Putative esterase/lipase 2,metabolism,e,monomer,,,268
MG_328_MONOMER,coiled coil putative structural protein involved in cytoskeleton,cytokinesis/motility,c,monomer,,,756
MG_329_MONOMER,GTP-binding protein engA,protein folding/maturation,c,monomer,,,448
MG_330_MONOMER,cytidylate kinase,metabolism,c,monomer,,,217
MG_331_MONOMER,predicted dolichyl-diphosphooligosaccharide-protein glycosyltransferase,protein folding/maturation,m,monomer,,,212
MG_332_MONOMER,glucose-1-phosphate adenylyltransferase; putative,metabolism,c,monomer,,,239
MG_333_DIMER,FMN-dependent NADH-azoreductase; putative,metabolism,c,complex,,(2.0)MG_333_MONOMER',
MG_333_MONOMER,FMN-dependent NADH-azoreductase; putative,metabolism,c,monomer,,,197
MG_334_MONOMER,valyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,837
MG_335_MONOMER,GTP-binding protein engB; putative,protein folding/maturation,c,monomer,,,191
MG_336_DIMER,cysteine desulfurase,metabolism,c,complex,,(2.0)MG_336_MONOMER',
MG_336_MONOMER,cysteine desulfurase,metabolism,c,monomer,,,408
MG_337_MONOMER,iron-sulfur cluster assembly protein,metabolism,c,monomer,,,138
MG_338_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,4MND,,1270
MG_339_MONOMER,recombination protein; strand exchange,DNA replication/maintenance,c,monomer,,,317
MG_340_MONOMER,DNA-directed RNA polymerase; beta subunit,transcription,c,monomer,3IYD,,1292
MG_341_MONOMER,DNA-directed RNA polymerase; beta subunit,transcription,c,monomer,,,1390
MG_342_MONOMER,NADPH-dependent FMN reductase domain protein,metabolism,c,monomer,,,168
MG_343_MONOMER,MG/MP only,MG-specific,c,monomer,,,346
MG_344_MONOMER,hydrolase; Putative esterase/lipase 3,metabolism,e,monomer,,,273
MG_345_MONOMER,isoleucyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,895
MG_346_DIMER,23S rRNA methyltransferase,RNA synthesis/maturation,c,complex,,(2.0)MG_346_MONOMER',
MG_346_MONOMER,23S rRNA methyltransferase; U2552,RNA synthesis/maturation,c,monomer,,,166
MG_347_DIMER,tRNA (guanine-N(7)-)-methyltransferase,RNA synthesis/maturation,c,complex,,(2.0)MG_347_MONOMER',
MG_347_MONOMER,tRNA (guanine-N(7)-)-methyltransferase,RNA synthesis/maturation,c,monomer,,,210
MG_348_MONOMER,lipoprotein; putative,lipoprotein,m,monomer,,,322
MG_349_HEXAMER,Replication initiation/membrane attachment protein,DNA replication/maintenance,c,complex,,(6.0)MG_349_MONOMER',
MG_349_MONOMER,Replication initiation/membrane attachment protein,DNA replication/maintenance,c,monomer,,,404
MG_350_MONOMER,transporter; substrate binding,protein transport/singaling,c,monomer,,,311
MG_351_HEXAMER,inorganic pyrophosphatase,metabolism,c,complex,5LS0,(6.0)MG_351_MONOMER',
MG_351_MONOMER,inorganic pyrophosphatase,metabolism,c,monomer,5LS0,,184
MG_352_DIMER,Holliday junction endonuclease,DNA replication/maintenance,c,complex,,(2.0)MG_352_MONOMER',
MG_352_MONOMER,Holliday junction endonuclease,DNA replication/maintenance,c,monomer,,,166
MG_353_DIMER,DNA-binding protein HU; putative,DNA replication/maintenance,c,complex,,(2.0)MG_353_MONOMER',
MG_353_MONOMER,DNA-binding protein HU; putative,DNA replication/maintenance,c,monomer,,,109
MG_354_MONOMER,,MG-specific,m,monomer,1TM9,,137
MG_355_HEXAMER,ATP-dependent Clp protease; ATPase subunit,protein folding/maturation,c,complex,,(6.0)MG_355_MONOMER',
MG_355_MONOMER,ATP-dependent Clp protease; ATPase subunit,protein folding/maturation,c,monomer,,,714
MG_356_MONOMER,choline/ethanolamine kinase; putative,metabolism,c,monomer,,,280
MG_357_DIMER,acetate kinase,metabolism,c,complex,,(2.0)MG_357_MONOMER',
MG_357_MONOMER,acetate kinase,metabolism,c,monomer,,,393
MG_358_359_10MER,Holliday junction DNA helicase,DNA replication/maintenance,c,complex,,(4.0)MG_358_MONOMER'+ '(6.0)MG_359_MONOMER',
MG_358_MONOMER,Holliday junction DNA helicase,DNA replication/maintenance,c,monomer,7OA5,,205
MG_359_MONOMER,Holliday junction DNA helicase RuvB,DNA replication/maintenance,c,monomer,3PFI,,307
MG_360_MONOMER,ImpB/MucB/SamB family protein,DNA replication/maintenance,c,monomer,,,411
MG_361_MONOMER,ribosomal protein L10,translation,c,monomer,,,162
MG_362_MONOMER,ribosomal protein L7/L12,translation,c,monomer,,,122
MG_363_MONOMER,ribosomal protein L32,translation,c,monomer,,,57
MG_364_MONOMER,Replication initiation/membrane attachment protein,DNA replication/maintenance,m,monomer,,,224
MG_365_MONOMER,methionyl-tRNA formyltransferase,RNA synthesis/maturation,c,monomer,,,311
MG_366_MONOMER,phosphomethylpyrimidine kinase; thiamine biosynthesis,metabolism,c,monomer,,,667
MG_367_DIMER,ribonuclease III,RNA synthesis/maturation,c,complex,,(2.0)MG_367_MONOMER',
MG_367_MONOMER,ribonuclease III,RNA synthesis/maturation,c,monomer,,,262
MG_368_DIMER,fatty acid/phospholipid synthesis protein PlsX,metabolism,c,complex,,(2.0)MG_368_MONOMER',
MG_368_MONOMER,fatty acid/phospholipid synthesis protein PlsX,metabolism,c,monomer,,,328
MG_369_DIMER,DAK2 phosphatase domain protein,metabolism,c,complex,1UOE,(2.0)MG_369_MONOMER',
MG_369_MONOMER,DAK2 phosphatase domain protein,metabolism,c,monomer,3PNL,,557
MG_370_MONOMER,23S rRNA pseudouridine synthase; U1911; U1915; U1917,RNA synthesis/maturation,c,monomer,,,323
MG_371_MONOMER,DHH family protein,metabolism,c,monomer,,,324
MG_372_DIMER,thiamine biosynthesis/tRNA modification protein ThiI,RNA synthesis/maturation,c,complex,,(2.0)MG_372_MONOMER',
MG_372_MONOMER,thiamine biosynthesis/tRNA modification protein ThiI,RNA synthesis/maturation,c,monomer,,,385
MG_373_MONOMER,exonuclease/recombinase (viral origin),DNA replication/maintenance,c,monomer,,,281
MG_374_MONOMER,haloacid dehalogenase-like hydrolase; sugar phosphatase; putative,metabolism,c,monomer,,,274
MG_375_DIMER,threonyl-tRNA synthetase,RNA synthesis/maturation,c,complex,,(2.0)MG_375_MONOMER',
MG_375_MONOMER,threonyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,564
MG_376_HEXAMER,None,DNA replication/maintenance,c,complex,,(6.0)MG_376_MONOMER',
MG_376_MONOMER,single-stranded DNA binding,DNA replication/maintenance,c,monomer,,,104
MG_377_MONOMER,chaperone/trigger factor; by structural homology,protein folding/maturation,c,monomer,,,193
MG_378_MONOMER,arginyl-tRNA synthetase,RNA synthesis/maturation,c,monomer,,,537
MG_379_MONOMER,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,RNA synthesis/maturation,c,monomer,2ZXI,,612
MG_380_MONOMER,methyltransferase GidB,RNA synthesis/maturation,c,monomer,,,192
